ObjectName,RA,DEC,Type,Velocity,Redshift,RedshiftFlag
NGC0507,20.91628,33.25606,G      ,4934,0.016458,
MCXCJ0123.6+3315,20.92083,33.26111, GClstr ,4917,0.0164,
ARP229,20.91792,33.26778, GPair  ,4929,0.016441,
NGC0508,20.91917,33.28028, G      ,5526,0.018433,
RSCG08,20.87521,33.27152, GGroup ,5096,0.017,
2MASSJ01234862+3313164,20.95261,33.22121, IrS    ,-46,-0.000154,SPEC
SDSSJ012353.87+331427.1,20.97446,33.24088, *      ,-25,-0.000083,SPEC
2MASXJ01234154+3312102,20.9233,33.2028, G      ,5158,0.017205,
NGC0504,20.86625,33.20444, G      ,4226,0.014096,
SDSSJ012333.68+331927.2,20.89035,33.32423, G      ,122861,0.409821,SPEC
IC1687,20.82958,33.27528, G      ,5019,0.016742,
NGC0503,20.86846,33.33172, G      ,5922,0.019754,
ARK039,20.99383,33.31326, G      ,5022,0.016752,
2MASXJ01234321+3321012,20.93004,33.35044, G      ,63173,0.210722,SPEC
SDSSJ012407.98+331510.6,21.03329,33.25295, G      ,75812,0.252881,SPEC
2MASXJ01235909+3319541,20.99612,33.33164, G      ,4489,0.014974,
SDSSJ012318.29+331944.4,20.82622,33.32901, G      ,134303,0.447988,SPEC
IC1690,20.95642,33.15628, G      ,4636,0.015464,
SDSSJ012411.21+331412.1,21.04643,33.23658, XrayS  ,67002,0.223496,SPEC
SDSSJ012311.65+331055.5,20.79857,33.18223, VisS   ,133245,0.444458,SPEC
SDSSJ012322.41+330839.8,20.8434,33.14435, XrayS  ,89820,0.299608,SPEC
NGC0507GROUP,20.82946,33.36076, GGroup ,5702,0.01902,
SDSSJ012409.31+331047.9,21.03909,33.1801, VisS   ,453022,1.511119,SPEC
SDSSJ012406.33+330943.8,21.0264,33.16217, G      ,91029,0.303639,SPEC
SDSSJ012308.93+331956.9,20.78722,33.33248, G      ,134461,0.448515,SPEC
IC1685,20.7775,33.18944, G      ,4462,0.014884,
SDSSJ012301.13+331516.3,20.75472,33.25453, G      ,134530,0.448743,SPEC
2MASXJ01232343+3322542,20.84792,33.38194, G      ,4880,0.016278,
SDSSJ012419.76+331431.9,21.08236,33.24221, *      ,-140,-0.000467,SPEC
[MHS2013]011,21.0918,33.256, GClstr ,45389,0.1514,
WHLJ012356.6+330657,20.98565,33.11597, GClstr ,76027,0.2536,SPEC
2MASSJ01235652+3306576,20.98594,33.11599, UvS    ,76013,0.253552,SPEC
SDSSJ012259.77+331141.3,20.74906,33.19482, G      ,135130,0.450745,SPEC
SDSSJ012300.75+331057.0,20.75316,33.18251, G      ,137204,0.457663,SPEC
RMJ012340.2+330553.5,20.91767,33.09819, GClstr ,79139,0.263979,PHOT
2MASXJ01234027+3305532,20.91767,33.09811, G      ,76503,0.255186,SPEC
2MASSJ01235023+3324397,20.95935,33.41097, *      ,-203,-0.000677,SPEC
SDSSJ012416.59+332114.0,21.06865,33.35408, XrayS  ,655632,2.186954,SPEC
2MASXJ01234321+3324592,20.93,33.41639, G      ,5601,0.018683,
SDSSJ012423.89+331852.4,21.09957,33.31458, G      ,168317,0.561444,SPEC
2MASXJ01230483+3322062,20.77017,33.36847, G      ,84447,0.281686,SPEC
2MASSJ01233189+3305142,20.88291,33.08737, G      ,76043,0.253653,SPEC
WHLJ012331.9+330515,20.88291,33.08737, GClstr ,76267,0.2544,SPEC
WHLJ012309.3+332335,20.78886,33.393, GClstr ,83882,0.2798,SPEC
[WH2015]0093,20.78886,33.393, GClstr ,83642,0.279,SPEC
RMJ012309.3+332334.8,20.78886,33.393, GClstr ,85094,0.283844,PHOT
2MASXJ01230930+3323342,20.78879,33.39297, G      ,83327,0.277948,SPEC
NGC0494,20.73083,33.17389, G      ,5462,0.018219,
IC1688,20.86708,33.08306, G      ,5023,0.016755,
SDSSJ012249.84+331314.4,20.70773,33.22067, UvS    ,149319,0.498076,SPEC
2MASSJ01232381+3325317,20.84911,33.42548, G      ,82628,0.275617,SPEC
SDSSJ012310.41+332413.5,20.79339,33.40376, G      ,138706,0.462673,SPEC
SDSSJ012418.78+330808.4,21.07758,33.13659, UvS    ,169609,0.565754,SPEC
[HMS56]0122+3305,20.82962,33.42743, GClstr ,4600,0.015344,
NGC0501,20.84336,33.43296, G      ,5010,0.016712,
SDSSJ012247.30+331111.6,20.69712,33.18658, G      ,166142,0.554191,SPEC
SDSSJ012319.07+332622.9,20.82949,33.4397, G      ,155889,0.519991,SPEC
IC1689,20.94942,33.05533, G      ,4566,0.015231,
IC1692,21.16483,33.23581, G      ,5525,0.018429,
SDSSJ012319.72+332717.7,20.83218,33.45494, QSO    ,94763,0.316095,SPEC
SDSSJ012330.78+330251.1,20.87786,33.04741, VisS   ,516045,1.721339,SPEC
IC1691,21.1075,33.40694, G      ,4983,0.016621,
SDSSJ012246.43+330821.5,20.69346,33.13933, G      ,134299,0.447974,SPEC
SDSSJ012436.71+330915.6,21.15295,33.1542, XrayS  ,152275,0.507935,SPEC
B20120+33:[MLO2002]CLUSTER,20.6875,33.37083, GClstr ,4984,0.016625,
IC1684,20.72167,33.41361, G      ,4018,0.013403,
NGC0499Group,20.80083,33.46111, GGroup ,4497,0.015,
SDSSJ012307.44+330333.3,20.78103,33.05928, G      ,79115,0.263898,SPEC
NGC0499,20.79792,33.46056, G      ,4399,0.014673,
SDSSJ012244.88+330758.7,20.687,33.13299, G      ,134740,0.449444,SPEC
SDSSJ012240.59+330823.1,20.66914,33.13975, G      ,134861,0.449847,SPEC
SDSSJ012346.59+332936.3,20.94414,33.49343, G      ,169303,0.564733,SPEC
SDSSJ012437.55+330735.8,21.15612,33.12677, VisS   ,370749,1.236687,SPEC
SDSSJ012231.66+331229.7,20.63194,33.20826, QSO    ,211691,0.706125,SPEC
2MASSJ01230382+3327564,20.76596,33.46565, G      ,88412,0.294909,SPEC
SDSSJ012417.14+330229.7,21.07117,33.04146, XrayS  ,54516,0.181845,SPEC
2MASSJ01232536+3330149,20.85561,33.50417, G      ,75795,0.252825,SPEC
NGC0498,20.79698,33.48936, G      ,6151,0.020518,
SDSSJ012247.82+332602.2,20.69847,33.43342, UvS    ,157216,0.524417,SPEC
SDSSJ012243.82+330518.6,20.68262,33.08851, G      ,110750,0.369421,SPEC
SDSSJ012323.75+330006.5,20.84897,33.00182, G      ,110019,0.366985,SPEC
SDSSJ012318.13+330014.3,20.82558,33.00398, *      ,-61,-0.000203,SPEC
NGC0495,20.73333,33.47167, G      ,4114,0.013723,
SDSSJ012409.34+333034.7,21.03894,33.50964, G      ,197537,0.658914,SPEC
SDSSJ012450.58+332233.1,21.21076,33.37586, G      ,169621,0.565796,SPEC
SDSSJ012259.35+330112.0,20.74732,33.02002, *      ,-40,-0.000134,SPEC
CGCG502-055,20.64167,33.10333, G      ,6039,0.020144,
SDSSJ012434.81+332719.6,21.14504,33.45545, G      ,142019,0.473725,SPEC
SDSSJ012257.68+330101.0,20.74035,33.01697, G      ,187053,0.623942,SPEC
SDSSJ012244.22+330311.1,20.68428,33.0531, G      ,135518,0.452039,SPEC
SDSSJ012414.14+330005.5,21.05894,33.00154, QSO    ,674091,2.248526,SPEC
SDSSJ012310.13+333105.7,20.79225,33.51826, G      ,121307,0.404637,SPEC
SDSSJ012500.68+331423.3,21.25286,33.23983, G      ,72228,0.240925,SPEC
NGC0517,21.1825,33.42944, G      ,4204,0.014023,
SDSSJ012220.27+331837.7,20.58448,33.31049, QSO    ,252602,0.84259,SPEC
2MASSJ01242233+3330106,21.09326,33.50308, G      ,83264,0.27774,SPEC
SDSSJ012227.33+330700.1,20.61391,33.1167, *      ,-59,-0.000196,SPEC
PPS2098,20.7546,33.51256, GGroup ,4894,0.016325,
NGC0496,20.79833,33.52917, G      ,6006,0.020034,
2MASXJ01245547+3322555,21.23108,33.38208, G      ,37131,0.123856,SPEC
WHLJ012455.5+332255,21.23113,33.38204, GClstr ,37324,0.1245,SPEC
SDSSJ012446.23+332619.3,21.19263,33.43871, *      ,-10,-0.000034,SPEC
HDCE0070,20.78667,33.53028, GGroup ,4970,0.016578,
SDSSJ012434.31+330147.8,21.14298,33.02997, G      ,167670,0.559286,SPEC
SDSSJ012301.55+325927.8,20.75648,32.99106, G      ,200084,0.667409,SPEC
SDSSJ012235.36+332702.4,20.64735,33.45067, G      ,155961,0.520229,SPEC
NGC0515,21.16083,33.47278, G      ,5097,0.017002,
SDSSJ012338.98+333326.4,20.91244,33.55734, G      ,156159,0.520891,SPEC
SDSSJ012504.75+331151.7,21.26982,33.19771, G      ,166081,0.553988,SPEC
WHLJ012504.8+331152,21.26982,33.19771, GClstr ,166055,0.5539,SPEC
